State,Parliament Constituency,Winning Candidate,Total Votes,Margin
Rajasthan,KOTA(24),OM BIRLA,750496,41974
Rajasthan,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
Rajasthan,GANGANAGAR (1),KULDEEP INDORA,726492,88153
Rajasthan,CHURU(3),RAHUL KASWAN,728211,72737
Rajasthan,JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235
Rajasthan,BHARATPUR (9),SANJNA JATAV,579890,51983
Rajasthan,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
Rajasthan,DAUSA (11),MURARI LAL MEENA,646266,237340
Rajasthan,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
Rajasthan,BARMER(17),UMMEDA RAM BENIWAL,704676,118176
Rajasthan,SIKAR(5),AMRARAM,659300,72896
Rajasthan,NAGAUR(14),HANUMAN BENIWAL,596955,42225
Rajasthan,BANSWARA (20),RAJ KUMAR ROAT,820831,247054
Sikkim,Sikkim(1),INDRA HANG SUBBA,164396,80830
Tamil Nadu,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222
Tamil Nadu,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
Tamil Nadu,CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689
Tamil Nadu,SRIPERUMBUDUR(5),T R BAALU,758611,487029
Tamil Nadu,KANCHEEPURAM(6),SELVAM. G,586044,221473
Tamil Nadu,ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559
Tamil Nadu,VELLORE(8),DM KATHIR ANAND,568692,215702
