Party Name,Parliament Constituency,Winning Candidate,Total Votes,Margin
Bharatiya Janata Party - BJP,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139
Bharatiya Janata Party - BJP,Malkajgiri(7),EATALA RAJENDER,991042,391475
Bharatiya Janata Party - BJP,Secunderabad(8),G. KISHAN REDDY,473012,49944
Bharatiya Janata Party - BJP,Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897
Bharatiya Janata Party - BJP,Mahbubnagar(11),ARUNA. D. K,510747,4500
Bharatiya Janata Party - BJP,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396
Bharatiya Janata Party - BJP,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584
Bharatiya Janata Party - BJP,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325
Bharatiya Janata Party - BJP,North-East Delhi(2),MANOJ TIWARI,824451,138778
Bharatiya Janata Party - BJP,East Delhi(3),HARSH MALHOTRA,664819,93663
Bharatiya Janata Party - BJP,New Delhi(4),BANSURI SWARAJ,453185,78370
Bharatiya Janata Party - BJP,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849
Bharatiya Janata Party - BJP,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013
Bharatiya Janata Party - BJP,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333
Bharatiya Janata Party - BJP,UDHAMPUR(4),DR JITENDRA SINGH,571076,124373
Bharatiya Janata Party - BJP,JAMMU(5),JUGAL KISHORE,687588,135498
Indian National Congress - INC,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476
Indian National Congress - INC,Nagaon(9),PRADYUT BORDOLOI,788850,212231
Indian National Congress - INC,Jorhat(14),GAURAV GOGOI,751771,144393
Indian National Congress - INC,Kishanganj(10),MOHAMMAD JAWED,402850,59692
Indian National Congress - INC,Katihar(11),TARIQ ANWAR,567092,49863
Indian National Congress - INC,Sasaram(34),MANOJ KUMAR,513004,19157
